Requirement ID,Smell Type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,0,1.4.1,1,
2,,0,1.6,0,2.7
3,,1,,1,
4,,0,"1.3, 1.6",1,
5,,0,"1.3, 1.5",0,2.3.2
6,semantic,1,,1,
7,lexical,0,1.6.1,1,
8,semantic,1,,0,2.6.1
9,,0,"1.3, 1.5, 1.6",1,
10,semantic,0,1.6,1,
11,syntactic,0,"1.3, 1.6",0,2.3.2
12,lexical,0,"1.3, 1.5, 1.6",0,2.7
13,lexical,0,1.6.1,1,
14,semantic,0,1.6,1,
15,syntactic,0,1.6,1,
16,syntactic,1,,1,
17,semantic,1,,0,2.3.2
18,lexical,1,,1,
19,semantic,0,"1.3, 1.3.1, 1.5",1,
Total,,6,,13,
